"","la","urn","school","school_description","adm_policy","num_pupils","perc_boys","perc_girls","perc_fsm","perc_sec_lang","perc_sen","att8","att8_eng","att8_maths","att8_fsm","att8_nonfsm","school_type","gender","att8_17"
"1",202,137181,"The UCL Academy","AC","NSE",171,52,49,59,63,14,50.3,11.2,9.4,48,53.5,"State School","Mixed",47.2
"2",202,100049,"Haverstock School","CY","NSE",199,62,38,59,71,12,42.4,9.3,8.6,38.2,48.4,"State School","Mixed",44.9
"3",202,100050,"Parliament Hill School","CY","NSE",175,NA,100,54,42,10,58.7,12.8,10.6,51.7,66.7,"State School","Girls",57.1
"4",202,100051,"Regent High School","CY","NSE",154,46,54,73,74,12,42.2,9.9,8.1,40.6,46.5,"State School","Mixed",39.9
"5",202,100052,"Hampstead School","CY","NSE",200,54,47,64,66,11,44.8,9.7,8.7,44.1,46.3,"State School","Mixed",44.2
"6",202,100053,"Acland Burghley School","CY","NSE",137,64,36,53,34,24,47.5,10.7,9.2,40.4,55.3,"State School","Mixed",48
"7",202,100054,"The Camden School for Girls","VA","NSE",107,NA,100,36,55,24,63.4,14,11.5,54,68.6,"State School","Girls",65.6
"8",202,100055,"Maria Fidelis Catholic School FCJ","VA","NSE",115,28,72,50,56,14,48.4,10.7,9.2,43.5,53.2,"State School","Mixed",42
"9",202,100056,"William Ellis School","VA","NSE",111,100,NA,52,59,8,46.3,9.7,9.7,39,54.4,"State School","Boys",44
"10",202,100059,"La Sainte Union Catholic Secondary School","VA","NSE",173,NA,100,42,53,14,54.6,12.2,9.8,49.1,58.6,"State School","Girls",57.1
"11",202,100092,"Camden Centre for Learning (CCfL) Special School","CYS",NA,17,88,12,88,12,NA,3.6,1.1,2.1,NA,NA,"Special School","Mixed",3.2
"12",203,138449,"Harris Academy Greenwich","AC","NSE",187,52,48,41,28,4,55,11.6,10.5,49.3,59,"State School","Mixed",52
"13",203,138245,"Ark Greenwich Free School","F","NSE",97,57,43,37,24,18,50.7,11.6,9.6,45.7,53.6,"State School","Mixed",50.4
"14",203,145315,"The Halley Academy","AC","NR",188,58,42,49,57,6,33,7.2,6.6,30.5,35.3,"State School","Mixed",NA
"15",203,100182,"Eltham Hill School","CY","NSE",171,NA,100,41,33,13,48.1,10.9,9.2,43.2,51.5,"State School","Girls",49
"16",203,100183,"Plumstead Manor School","CY","NSE",232,0,100,45,57,13,41.6,9.2,7.6,38.5,44.2,"State School","Girls",42.5
"17",203,141163,"Woolwich Polytechnic School","ACC","NSE",238,100,NA,42,49,13,47.1,10.3,10,44.6,48.8,"State School","Boys",46
"18",203,141309,"Stationers' Crown Woods Academy","ACC","NSE",254,58,43,31,20,10,42.4,9.7,8.6,34.4,45.9,"State School","Mixed",41.2
"19",203,100190,"Thomas Tallis School","CY","NSE",260,64,36,39,29,7,45.6,9.5,8.7,38.5,50,"State School","Mixed",45.7
"20",203,100192,"The John Roan School","VC","NSE",221,61,39,35,30,15,39.9,9.1,7.7,32.8,43.7,"State School","Mixed",36.4
"21",203,100193,"St Ursula's Convent School","VA","NSE",116,NA,100,27,27,9,59.3,13.2,10.6,53.9,61.3,"State School","Girls",62.9
"22",203,141716,"St Thomas More Catholic Comprehensive School","ACC","NSE",123,53,47,15,14,7,59.1,12.1,11.1,54.8,59.8,"State School","Mixed",56.5
"23",203,105135,"St Paul's Academy","AC","NSE",240,56,44,39,43,14,45.1,9.4,8.7,41.2,47.7,"State School","Mixed",45.2
"24",203,136092,"Wize Up","INDSPEC",NA,25,56,44,NA,NA,NA,14,4.2,3.7,NA,NA,"Special School","Mixed",11.2
"25",203,100204,"King's Oak School","CYS",NA,9,100,NA,89,0,NA,9.6,2.1,2.2,NA,NA,"Special School","Boys",8.6
"26",204,137442,"Clapton Girls' Academy","ACC","NSE",174,NA,100,59,52,5,58.7,12.8,11,54.4,64.8,"State School","Girls",54.8
"27",204,100279,"Stoke Newington School and Sixth Form","CY","NSE",254,56,45,31,22,29,53.3,11.2,10.4,43.4,57.7,"State School","Mixed",51.7
